REF_AREA,date,HPI,HPI_RPI,RPI,iso2,hh_share,year,d_ptr,d_hp,d_rent,d_hh
JPN,2013-10-01,97.615,97.1029361471518,100.527130718868,JP,38.23343848580441,2013,3.3871477305570608,2.962047499303555,-0.4251002312534169,0.2571736513259637
JPN,2014-10-01,98.436,98.274704191635,100.163917706669,JP,38.342967244701356,2014,1.1995048072353853,0.8375420673847778,-0.36196273985060756,0.10952875889694269
JPN,2015-10-01,100.532,100.598769249217,99.9334188612302,JP,38.53271645736946,2015,2.3373362190455715,2.1069493969659625,-0.23038682207969785,0.1897492126681044
JPN,2016-10-01,103.209,103.653586801529,99.5708754718739,JP,38.21032005225343,2016,2.9914419730617148,2.6279973769005593,-0.3634445961614219,-0.32239640511603085
JPN,2017-10-01,105.114,105.776240154281,99.3737153949537,JP,38.371335504886,2017,2.02714777746964,1.82894169344614,-0.19820608402314477,0.16101545263256867
JPN,2018-10-01,107.83,108.652875187235,99.2424489201206,JP,38.25031928480204,2018,2.6832248196352992,2.551043741224124,-0.13218107841126425,-0.12101622008395907
JPN,2019-10-01,108.873,109.630191884554,99.3091137595515,JP,37.64705882352941,2019,0.8954640788042312,0.9626152419949463,0.06715116319035985,-0.603260461272626
JPN,2020-10-01,110.573,111.378655428583,99.2764439357244,JP,36.43454038997215,2020,1.5822896182670299,1.549387100580013,-0.03290251768657271,-1.212518433557264
JPN,2021-10-01,118.239,119.179355274989,99.2107669018889,JP,36.36363636363637,2021,6.769383946969576,6.703206346956669,-0.06617760001290662,-0.07090402633578208
JPN,2022-10-01,127.215,128.096675040501,99.3115032199264,JP,36.14525139664805,2022,7.215570696817419,7.317056869247551,0.10148617242968783,-0.21838496698831733
JPN,2023-10-01,129.902,130.669009173749,99.4128054931618,JP,35.67753001715266,2023,1.988222571393905,2.09017515350709,0.1019525821135403,-0.46772137949538717
JPN,2024-10-01,133.563,133.813513811164,99.8125798045524,JP,35.628227194492254,2024,2.37796643656214,2.779295662126202,0.4013292255642398,-0.049302822660408196
JPN,2025-10-01,140.305,139.778156032167,100.376704146196,JP,34.91428571428571,2025,4.360942335558704,4.924534775403977,0.5635924398450953,-0.7139414802065431
KOR,1987-10-01,38.5110408573654,97.2063154570113,39.6187909315306,KR,29.91803278688524,1987,3.110356567387118,5.904387746529816,2.7940311791426087,2.6810613021261496
